15
0 1-555; 2-782; 3-813; 4-168; 5-820; 6-330; 7-408; 8-634; 9-151; 10-572; 11-165; 12-408; 13-58; 14-472;
1 0-555; 2-717; 3-884; 4-745; 5-448; 6-441; 7-309; 8-540; 9-961; 10-764; 11-1; 12-12; 13-864; 14-731;
2 0-782; 1-717; 3-206; 4-259; 5-995; 6-595; 7-398; 8-850; 9-727; 10-2; 11-867; 12-929; 13-625; 14-260;
3 0-813; 1-884; 2-206; 4-177; 5-68; 6-822; 7-560; 8-141; 9-106; 10-510; 11-102; 12-799; 13-140; 14-89;
4 0-168; 1-745; 2-259; 3-177; 5-897; 6-313; 7-404; 8-708; 9-816; 10-923; 11-556; 12-132; 13-556; 14-561;
5 0-820; 1-448; 2-995; 3-68; 4-897; 6-205; 7-486; 8-896; 9-787; 10-721; 11-128; 12-389; 13-281; 14-495;
6 0-330; 1-441; 2-595; 3-822; 4-313; 5-205; 7-615; 8-180; 9-70; 10-642; 11-370; 12-134; 13-846; 14-460;
7 0-408; 1-309; 2-398; 3-560; 4-404; 5-486; 6-615; 8-552; 9-813; 10-523; 11-242; 12-835; 13-628; 14-205;
8 0-634; 1-540; 2-850; 3-141; 4-708; 5-896; 6-180; 7-552; 9-782; 10-183; 11-219; 12-155; 13-441; 14-347;
9 0-151; 1-961; 2-727; 3-106; 4-816; 5-787; 6-70; 7-813; 8-782; 10-916; 11-665; 12-60; 13-900; 14-530;
10 0-572; 1-764; 2-2; 3-510; 4-923; 5-721; 6-642; 7-523; 8-183; 9-916; 11-101; 12-943; 13-88; 14-380;
11 0-165; 1-1; 2-867; 3-102; 4-556; 5-128; 6-370; 7-242; 8-219; 9-665; 10-101; 12-132; 13-198; 14-392;
12 0-408; 1-12; 2-929; 3-799; 4-132; 5-389; 6-134; 7-835; 8-155; 9-60; 10-943; 11-132; 13-206; 14-312;
13 0-58; 1-864; 2-625; 3-140; 4-556; 5-281; 6-846; 7-628; 8-441; 9-900; 10-88; 11-198; 12-206; 14-123;
14 0-472; 1-731; 2-260; 3-89; 4-561; 5-495; 6-460; 7-205; 8-347; 9-530; 10-380; 11-392; 12-312; 13-123;
